lsoa_code,traj,traj_titles
E01024381,B,"N = 8,124 (26%)"
E01024382,B,"N = 8,124 (26%)"
E01024383,B,"N = 8,124 (26%)"
E01024384,B,"N = 8,124 (26%)"
E01024385,A,"N = 23,924 (72%)"
E01024386,A,"N = 23,924 (72%)"
E01024387,B,"N = 8,124 (26%)"
E01024388,B,"N = 8,124 (26%)"
E01024389,C,"N = 5,664 (3%)"
E01024390,B,"N = 8,124 (26%)"
E01024391,A,"N = 23,924 (72%)"
E01024392,A,"N = 23,924 (72%)"
E01024393,A,"N = 23,924 (72%)"
E01024394,A,"N = 23,924 (72%)"
E01024395,A,"N = 23,924 (72%)"
E01024396,A,"N = 23,924 (72%)"
E01024397,B,"N = 8,124 (26%)"
E01024398,B,"N = 8,124 (26%)"
E01024399,A,"N = 23,924 (72%)"
E01024400,A,"N = 23,924 (72%)"
E01024401,A,"N = 23,924 (72%)"
E01024402,A,"N = 23,924 (72%)"
E01024403,B,"N = 8,124 (26%)"
E01024404,A,"N = 23,924 (72%)"
E01024405,A,"N = 23,924 (72%)"
E01024406,A,"N = 23,924 (72%)"
E01024407,A,"N = 23,924 (72%)"
E01024408,A,"N = 23,924 (72%)"
E01024409,A,"N = 23,924 (72%)"
E01024410,A,"N = 23,924 (72%)"
E01024411,A,"N = 23,924 (72%)"
E01024413,B,"N = 8,124 (26%)"
E01024414,A,"N = 23,924 (72%)"
E01024415,A,"N = 23,924 (72%)"
E01024416,A,"N = 23,924 (72%)"
E01024417,A,"N = 23,924 (72%)"
E01024418,A,"N = 23,924 (72%)"
E01024419,A,"N = 23,924 (72%)"
E01024420,A,"N = 23,924 (72%)"
E01024421,A,"N = 23,924 (72%)"
E01024422,B,"N = 8,124 (26%)"
E01024423,B,"N = 8,124 (26%)"
E01024424,A,"N = 23,924 (72%)"
E01024425,A,"N = 23,924 (72%)"
